assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,19.0,0.0,5.5,2.0,0.0,2.9,23.4,90.0,8.0,0.0,0.0,0.0,1083.0,0.0,77.0,0.0,94567.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,16.0,0.0,1.5,2.0,0.0,2.6,24.0,90.0,11.0,0.0,0.0,0.0,1083.0,0.0,78.0,0.0,90249.0,0.0,2.0,0.0,1.0,-7447.0,1133.0,8580.0,45.0,0.0,0.0,1.0
0.0,0.0,24.0,0.0,0.3,1.0,1.0,9.4,60.8,90.0,13.0,0.0,0.0,0.0,1083.0,0.0,79.0,0.0,76035.0,1.0,1.0,33.0,8.0,-14661.0,552.0,15213.0,45.0,1.0,0.0,8.0
0.0,2.0,28.0,1.0,1.1,0.0,0.0,2.8,27.2,90.0,19.0,0.0,0.0,0.0,1083.0,0.0,80.0,0.0,93280.0,1.0,0.0,0.0,8.0,11166.0,17377.0,6211.0,45.0,0.0,0.0,8.0
0.0,1.0,28.0,1.0,11.8,0.0,0.0,3.7,21.6,90.0,4.0,0.0,0.0,0.0,1083.0,0.0,81.0,0.0,132962.0,0.0,1.0,4.0,7.0,31449.0,42328.0,10879.0,45.0,1.0,0.0,7.0
0.0,0.0,9.0,0.0,0.3,1.0,0.0,4.0,22.8,90.0,14.0,0.0,0.0,0.0,1083.0,0.0,82.0,0.0,221351.0,1.0,1.0,17.0,2.0,78839.0,92416.0,13577.0,45.0,0.0,0.0,2.0
0.0,0.0,23.0,1.0,0.8,0.0,0.0,1.5,14.2,90.0,16.0,0.0,0.0,0.0,1083.0,0.0,83.0,0.0,276207.0,0.0,2.0,0.0,6.0,49573.0,60103.0,10530.0,46.0,1.0,0.0,6.0
0.0,0.0,21.0,1.0,0.8,0.0,0.0,2.4,23.2,90.0,7.0,0.0,0.0,0.0,1083.0,0.0,84.0,0.0,279984.0,1.0,0.0,0.0,6.0,7909.0,17507.0,9598.0,46.0,0.0,0.0,6.0
0.0,0.0,13.0,0.0,0.8,2.0,0.0,3.4,16.6,90.0,18.0,0.0,0.0,0.0,1083.0,0.0,85.0,0.0,305936.0,2.0,0.0,17.0,1.0,20679.0,33790.0,13111.0,46.0,1.0,0.0,1.0
0.0,0.0,11.0,0.0,0.9,1.0,0.0,4.5,18.0,90.0,3.0,0.0,0.0,0.0,1083.0,0.0,86.0,0.0,305203.0,0.0,1.0,26.0,2.0,-361.0,14486.0,14847.0,46.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,0.8,3.0,0.0,1.8,12.8,90.0,17.0,0.0,0.0,0.0,1083.0,0.0,87.0,0.0,288152.0,3.0,2.0,4.0,1.0,-16632.0,5939.0,22571.0,46.0,1.0,0.0,1.0
0.0,0.0,16.0,0.0,10.0,1.0,0.0,3.2,19.8,90.0,1.0,0.0,0.0,0.0,1083.0,0.0,88.0,0.0,275351.0,1.0,1.0,2.0,2.0,-13673.0,2643.0,16316.0,46.0,0.0,0.0,2.0
0.0,0.0,20.0,0.0,0.5,2.0,0.0,3.6,35.6,90.0,10.0,0.0,0.0,0.0,1083.0,0.0,89.0,0.0,306477.0,2.0,0.0,0.0,1.0,25441.0,35309.0,9868.0,46.0,1.0,0.0,1.0
0.0,0.0,19.0,0.0,10.5,2.0,0.0,6.1,50.4,90.0,5.0,0.0,0.0,0.0,1083.0,0.0,90.0,0.0,301365.0,1.0,2.0,0.0,1.0,-2423.0,8404.0,10827.0,46.0,0.0,0.0,1.0
0.0,0.0,15.0,0.0,0.2,1.0,0.0,1.9,16.8,90.0,6.0,0.0,0.0,0.0,1083.0,0.0,91.0,0.0,282419.0,1.0,2.0,2.0,2.0,-17777.0,2443.0,20220.0,46.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,0.9,1.0,0.0,1.8,13.4,90.0,15.0,0.0,0.0,0.0,1083.0,0.0,92.0,0.0,286662.0,2.0,1.0,4.0,2.0,1842.0,12479.0,10637.0,46.0,0.0,0.0,2.0
0.0,0.0,23.0,1.0,0.3,0.0,0.0,2.2,21.2,90.0,2.0,0.0,0.0,0.0,1083.0,0.0,93.0,0.0,283155.0,0.0,2.0,0.0,6.0,-3680.0,9447.0,13127.0,46.0,1.0,0.0,6.0
0.0,0.0,26.0,0.0,0.5,2.0,0.0,3.4,33.0,90.0,12.0,0.0,0.0,0.0,1083.0,0.0,94.0,0.0,285336.0,2.0,0.0,0.0,1.0,1340.0,13108.0,11768.0,46.0,1.0,0.0,1.0
0.0,0.0,14.0,0.0,2.8,1.0,0.0,2.4,21.6,90.0,9.0,0.0,0.0,0.0,1083.0,0.0,95.0,0.0,290510.0,1.0,1.0,0.0,2.0,3661.0,14285.0,10624.0,46.0,0.0,0.0,2.0
0.0,2.0,29.0,0.0,0.6,1.0,1.0,6.5,47.8,90.0,17.0,0.0,0.0,0.0,1083.0,0.0,96.0,0.0,274136.0,3.0,1.0,17.0,10.0,-15230.0,4296.0,19526.0,46.0,0.0,0.0,10.0
0.0,0.0,12.0,0.0,11.2,2.0,0.0,4.5,28.0,90.0,7.0,0.0,0.0,0.0,1083.0,0.0,97.0,0.0,331349.0,2.0,0.0,6.0,0.0,50336.0,65186.0,14850.0,46.0,1.0,1.0,0.0
0.0,0.0,-8.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,1083.0,1.0,98.0,0.0,321035.0,0.0,3.0,4.0,-3.0,-9372.0,23081.0,32453.0,46.0,0.0,0.0,-3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1083.0,0.0,99.0,0.0,248704.0,3.0,4.0,0.0,0.0,-70853.0,3825.0,74678.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1083.0,0.0,100.0,0.0,216590.0,0.0,3.0,0.0,0.0,-33997.0,404.0,34401.0,46.0,1.0,0.0,0.0
0.0,0.0,13.0,0.0,0.2,1.0,0.0,2.3,22.6,90.0,8.0,0.0,0.0,0.0,1083.0,0.0,101.0,0.0,212211.0,3.0,1.0,0.0,2.0,-4158.0,3150.0,7308.0,46.0,0.0,0.0,2.0
0.0,3.0,28.0,0.0,1.9,1.0,1.0,12.0,67.4,90.0,15.0,0.0,0.0,0.0,1083.0,0.0,102.0,0.0,213031.0,1.0,1.0,51.0,11.0,-976.0,5496.0,6472.0,46.0,1.0,0.0,11.0
0.0,0.0,6.0,0.0,0.8,1.0,0.0,2.8,18.2,90.0,2.0,0.0,0.0,0.0,1083.0,0.0,103.0,0.0,250035.0,1.0,1.0,9.0,2.0,27026.0,32274.0,5248.0,46.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,1.0,1.0,0.0,3.5,30.0,90.0,10.0,0.0,0.0,0.0,1083.0,0.0,104.0,0.0,263623.0,0.0,1.0,4.0,2.0,21319.0,26037.0,4718.0,46.0,0.0,0.0,2.0
0.0,0.0,30.0,1.0,10.7,0.0,0.0,5.8,29.0,90.0,5.0,0.0,0.0,0.0,1083.0,0.0,105.0,0.0,270149.0,0.0,2.0,18.0,6.0,6665.0,13895.0,7230.0,46.0,1.0,0.0,6.0
0.0,0.0,11.0,0.0,0.1,1.0,0.0,4.3,42.8,90.0,6.0,0.0,0.0,0.0,1083.0,0.0,106.0,0.0,272432.0,1.0,1.0,0.0,1.0,1796.0,14375.0,12579.0,46.0,0.0,1.0,1.0
0.0,0.0,16.0,0.0,10.7,1.0,0.0,4.5,30.0,90.0,14.0,0.0,0.0,0.0,1083.0,0.0,108.0,0.0,312015.0,1.0,2.0,4.0,2.0,32372.0,40898.0,8526.0,47.0,1.0,0.0,2.0
0.0,2.0,33.0,0.0,11.8,3.0,1.0,10.1,64.2,90.0,16.0,0.0,0.0,0.0,1083.0,0.0,110.0,0.0,297608.0,1.0,3.0,25.0,9.0,10354.0,24030.0,13676.0,47.0,0.0,0.0,9.0
0.0,0.0,12.0,0.0,10.7,1.0,0.0,3.1,18.2,90.0,1.0,0.0,0.0,0.0,1083.0,0.0,111.0,0.0,406709.0,1.0,3.0,2.0,2.0,98230.0,104220.0,5990.0,47.0,1.0,0.0,2.0
0.0,0.0,17.0,0.0,11.3,1.0,0.0,2.9,15.2,90.0,18.0,0.0,0.0,0.0,1083.0,0.0,112.0,0.0,402856.0,2.0,1.0,2.0,2.0,5855.0,14843.0,8988.0,47.0,0.0,0.0,2.0
0.0,0.0,20.0,1.0,0.7,0.0,0.0,3.2,14.0,90.0,9.0,0.0,0.0,0.0,1083.0,0.0,113.0,0.0,408259.0,0.0,1.0,17.0,6.0,4764.0,13554.0,8790.0,47.0,1.0,0.0,6.0
0.0,0.0,16.0,0.0,10.4,2.0,0.0,3.0,17.6,90.0,12.0,0.0,0.0,0.0,1083.0,0.0,114.0,0.0,379126.0,0.0,2.0,2.0,1.0,-25690.0,3909.0,29599.0,47.0,0.0,0.0,1.0
0.0,3.0,32.0,1.0,0.3,0.0,0.0,3.0,25.2,90.0,9.0,0.0,0.0,0.0,1083.0,0.0,115.0,0.0,381591.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,50.0,0.0,0.0,9.0
0.0,0.0,10.0,0.0,0.3,1.0,0.0,1.5,12.8,90.0,12.0,0.0,0.0,0.0,1083.0,0.0,116.0,0.0,424345.0,1.0,1.0,2.0,2.0,6703.0,31570.0,24867.0,50.0,1.0,0.0,2.0
0.0,2.0,25.0,0.0,21.8,1.0,0.0,5.1,28.8,90.0,5.0,0.0,0.0,0.0,1083.0,0.0,117.0,0.0,476123.0,1.0,1.0,0.0,4.0,32943.0,68997.0,36054.0,50.0,1.0,0.0,4.0
1.0,0.0,21.0,0.0,20.8,3.0,0.0,6.7,38.2,90.0,8.0,0.0,0.0,0.0,1083.0,1.0,118.0,0.0,517034.0,2.0,3.0,8.0,1.0,29365.0,69227.0,39862.0,50.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1083.0,0.0,119.0,0.0,368743.0,5.0,2.0,0.0,0.0,-140706.0,11334.0,152040.0,50.0,1.0,0.0,0.0
0.0,0.0,14.0,0.0,1.2,1.0,0.0,2.8,26.4,90.0,7.0,0.0,0.0,0.0,1083.0,0.0,120.0,0.0,361792.0,1.0,1.0,0.0,2.0,-16127.0,9562.0,25689.0,50.0,0.0,0.0,2.0
0.0,1.0,28.0,1.0,10.8,0.0,0.0,4.6,35.0,90.0,18.0,0.0,0.0,0.0,1083.0,0.0,121.0,0.0,352770.0,0.0,2.0,0.0,7.0,-11397.0,11895.0,23292.0,50.0,1.0,0.0,7.0
0.0,1.0,29.0,1.0,0.3,0.0,0.0,3.7,36.6,90.0,11.0,0.0,0.0,0.0,1083.0,0.0,122.0,0.0,346249.0,2.0,0.0,0.0,7.0,-6266.0,8696.0,14962.0,50.0,0.0,0.0,7.0
