assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.7,17.4,90.0,15.0,0.0,0.0,0.0,670.0,0.0,1.0,2.0,5495.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,1.8,17.6,90.0,14.0,0.0,0.0,0.0,670.0,0.0,2.0,2.0,21605.0,4.0,1.0,0.0,2.0,8233.0,9386.0,1153.0,50.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.3,12.6,90.0,20.0,0.0,0.0,0.0,670.0,0.0,3.0,1.0,29321.0,1.0,3.0,0.0,2.0,3423.0,7140.0,3717.0,50.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,670.0,0.0,4.0,0.0,27518.0,2.0,1.0,0.0,0.0,-3180.0,2325.0,5505.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,670.0,0.0,5.0,0.0,23396.0,0.0,4.0,0.0,0.0,-4395.0,602.0,4997.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,670.0,0.0,6.0,0.0,20143.0,3.0,1.0,0.0,0.0,-3415.0,328.0,3743.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,670.0,0.0,7.0,0.0,18483.0,0.0,2.0,0.0,0.0,-1767.0,133.0,1900.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,670.0,0.0,8.0,0.0,17268.0,1.0,1.0,0.0,0.0,-1326.0,75.0,1401.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,670.0,0.0,9.0,0.0,16686.0,1.0,1.0,0.0,0.0,-654.0,44.0,698.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,670.0,0.0,10.0,0.0,16224.0,4.0,0.0,0.0,0.0,-553.0,45.0,598.0,49.0,0.0,0.0,0.0
