assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,5.0,0.0,0.3,0.0,0.0,4.0,3.0,9.0,17.0,0.0,0.0,0.0,1087.0,0.0,77.0,0.0,7032.0,2.0,1.0,37.0,1.0,0.0,0.0,0.0,60.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,25.0,5.0,0.0,0.0,0.0,1087.0,0.0,78.0,0.0,6772.0,0.0,0.0,2.0,1.0,-847.0,286.0,1133.0,60.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,11.0,1.0,0.0,1.3,2.4,11.0,6.0,0.0,0.0,0.0,1087.0,0.0,79.0,0.0,5523.0,2.0,1.0,0.0,1.0,-1389.0,165.0,1554.0,59.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1087.0,0.0,80.0,0.0,4745.0,1.0,2.0,0.0,0.0,-907.0,103.0,1010.0,59.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.2,0.0,0.0,0.0,0.2,11.0,1.0,0.0,0.0,0.0,1087.0,0.0,81.0,0.0,4213.0,2.0,1.0,0.0,1.0,-637.0,120.0,757.0,58.0,1.0,0.0,1.0
0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,1087.0,0.0,82.0,0.0,3928.0,0.0,0.0,0.0,1.0,-338.0,87.0,425.0,58.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,4.5,1.0,0.0,1.1,2.2,21.0,11.0,0.0,0.0,0.0,1087.0,0.0,83.0,0.0,3690.0,2.0,0.0,4.0,1.0,-271.0,56.0,327.0,57.0,1.0,0.0,1.0
0.0,0.0,25.0,0.0,11.8,2.0,1.0,10.8,41.8,77.0,14.0,0.0,0.0,0.0,1087.0,0.0,84.0,0.0,3532.0,2.0,3.0,54.0,6.0,-177.0,48.0,225.0,57.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,12.9,1.0,0.0,2.1,2.2,73.0,3.0,0.0,0.0,0.0,1087.0,0.0,85.0,0.0,4390.0,1.0,0.0,6.0,2.0,723.0,1210.0,487.0,57.0,1.0,0.0,2.0
0.0,0.0,0.0,1.0,1.8,0.0,0.0,1.0,0.0,79.0,16.0,0.0,0.0,0.0,1087.0,0.0,86.0,0.0,4771.0,0.0,0.0,10.0,2.0,308.0,668.0,360.0,57.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,1.7,0.0,0.0,0.2,0.0,45.0,18.0,0.0,0.0,0.0,1087.0,0.0,87.0,0.0,5556.0,0.0,1.0,2.0,1.0,680.0,1228.0,548.0,57.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1087.0,0.0,88.0,0.0,4458.0,1.0,2.0,0.0,0.0,-1062.0,70.0,1132.0,57.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1087.0,0.0,89.0,0.0,3865.0,2.0,1.0,0.0,0.0,-613.0,52.0,665.0,57.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1087.0,0.0,90.0,0.0,3730.0,3.0,0.0,0.0,0.0,-159.0,38.0,197.0,57.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1087.0,0.0,91.0,0.0,3667.0,1.0,1.0,0.0,0.0,-92.0,59.0,151.0,57.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1087.0,0.0,92.0,0.0,3629.0,2.0,1.0,0.0,0.0,-60.0,71.0,131.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1087.0,0.0,93.0,0.0,3624.0,1.0,0.0,0.0,0.0,-30.0,97.0,127.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1087.0,0.0,94.0,0.0,3560.0,0.0,0.0,0.0,0.0,-85.0,63.0,148.0,56.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,0.5,4.0,0.0,2.9,11.2,90.0,12.0,0.0,0.0,0.0,1087.0,0.0,95.0,0.0,3474.0,0.0,4.0,17.0,2.0,-98.0,44.0,142.0,56.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1087.0,0.0,96.0,0.0,3487.0,1.0,1.0,0.0,0.0,-18.0,83.0,101.0,56.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,10.5,0.0,0.0,1.7,4.0,9.0,14.0,0.0,0.0,0.0,1087.0,0.0,97.0,0.0,3448.0,2.0,0.0,2.0,1.0,-56.0,38.0,94.0,56.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1087.0,0.0,98.0,0.0,3293.0,1.0,2.0,0.0,0.0,-173.0,33.0,206.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1087.0,0.0,99.0,0.0,3209.0,0.0,3.0,0.0,0.0,-89.0,36.0,125.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1087.0,0.0,100.0,0.0,3143.0,1.0,2.0,0.0,0.0,-68.0,29.0,97.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1087.0,0.0,101.0,0.0,3109.0,0.0,1.0,0.0,0.0,-41.0,14.0,55.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1087.0,0.0,102.0,0.0,3129.0,1.0,1.0,0.0,0.0,6.0,55.0,49.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1087.0,0.0,103.0,0.0,3204.0,0.0,2.0,0.0,0.0,40.0,105.0,65.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1087.0,0.0,104.0,0.0,3243.0,0.0,2.0,0.0,0.0,36.0,82.0,46.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1087.0,0.0,105.0,0.0,3257.0,0.0,2.0,0.0,0.0,12.0,78.0,66.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1087.0,0.0,106.0,0.0,3286.0,2.0,3.0,0.0,0.0,2.0,64.0,62.0,56.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.2,0.0,8.0,2.0,0.0,0.0,0.0,1087.0,0.0,107.0,0.0,3347.0,2.0,2.0,2.0,1.0,-8.0,52.0,60.0,56.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,0.6,1.0,0.0,0.1,0.6,13.0,1.0,0.0,0.0,0.0,1087.0,0.0,108.0,0.0,3275.0,0.0,2.0,0.0,1.0,-23.0,46.0,69.0,56.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1087.0,0.0,109.0,0.0,3341.0,1.0,0.0,0.0,0.0,37.0,79.0,42.0,56.0,1.0,0.0,0.0
