assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,18.0,0.0,0.1,2.0,0.0,3.0,28.0,90.0,10.0,0.0,0.0,0.0,678.0,0.0,1.0,0.0,24389.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,678.0,0.0,2.0,0.0,26512.0,2.0,1.0,0.0,0.0,-301.0,317.0,1229.0,45.0,1.0,0.0,0.0
0.0,0.0,11.0,0.0,0.4,3.0,0.0,0.9,8.8,90.0,1.0,0.0,0.0,0.0,678.0,0.0,3.0,0.0,25968.0,3.0,1.0,0.0,1.0,-935.0,376.0,1311.0,45.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,0.0,2.0,0.0,1.9,13.2,81.0,20.0,0.0,0.0,0.0,678.0,0.0,4.0,0.0,25405.0,4.0,2.0,6.0,1.0,-1284.0,902.0,2186.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,678.0,0.0,5.0,0.0,25102.0,1.0,3.0,0.0,0.0,-614.0,616.0,1230.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,678.0,0.0,6.0,0.0,22385.0,0.0,2.0,0.0,0.0,-2799.0,214.0,3013.0,44.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,11.1,2.0,0.0,5.3,23.0,90.0,2.0,0.0,0.0,0.0,678.0,0.0,7.0,0.0,21770.0,2.0,2.0,19.0,1.0,-774.0,447.0,1221.0,44.0,1.0,0.0,1.0
0.0,0.0,22.0,1.0,0.0,0.0,0.0,3.7,17.2,90.0,12.0,0.0,0.0,0.0,678.0,0.0,8.0,0.0,21797.0,1.0,0.0,20.0,6.0,-201.0,513.0,714.0,44.0,0.0,0.0,6.0
0.0,0.0,23.0,1.0,0.6,0.0,0.0,2.6,13.8,90.0,16.0,0.0,0.0,0.0,678.0,0.0,9.0,0.0,23486.0,0.0,0.0,12.0,6.0,1403.0,1897.0,494.0,44.0,0.0,0.0,6.0
0.0,0.0,22.0,1.0,1.4,0.0,0.0,1.8,5.4,71.0,7.0,0.0,0.0,0.0,678.0,0.0,10.0,0.0,26064.0,0.0,1.0,11.0,6.0,2244.0,2608.0,364.0,44.0,1.0,0.0,6.0
