assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1092.0,0.0,77.0,0.0,3574.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1092.0,0.0,78.0,0.0,3569.0,0.0,2.0,0.0,0.0,-768.0,148.0,916.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1092.0,0.0,79.0,0.0,2657.0,2.0,1.0,0.0,0.0,-947.0,36.0,983.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1092.0,0.0,80.0,0.0,2248.0,2.0,1.0,0.0,0.0,-460.0,24.0,484.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1092.0,0.0,81.0,0.0,2081.0,2.0,4.0,0.0,0.0,-212.0,51.0,263.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1092.0,0.0,82.0,0.0,2070.0,1.0,3.0,0.0,0.0,-83.0,32.0,115.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1092.0,0.0,83.0,0.0,2018.0,2.0,0.0,0.0,0.0,-102.0,28.0,130.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1092.0,0.0,84.0,0.0,2003.0,2.0,1.0,0.0,0.0,-61.0,25.0,86.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1092.0,0.0,85.0,0.0,1991.0,1.0,3.0,0.0,0.0,-70.0,39.0,109.0,49.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,0.9,1.0,0.0,0.2,1.0,79.0,19.0,0.0,0.0,0.0,1092.0,0.0,86.0,0.0,1994.0,1.0,1.0,0.0,1.0,-28.0,33.0,61.0,49.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1092.0,0.0,87.0,0.0,2035.0,1.0,0.0,0.0,0.0,-1.0,48.0,49.0,49.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.2,0.0,0.0,0.2,2.2,1.0,4.0,0.0,0.0,0.0,1092.0,0.0,88.0,0.0,2042.0,0.0,0.0,0.0,1.0,-16.0,42.0,58.0,49.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1092.0,0.0,89.0,0.0,2064.0,1.0,1.0,0.0,0.0,-14.0,51.0,65.0,49.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.1,0.0,0.0,0.5,4.4,21.0,18.0,0.0,0.0,0.0,1092.0,0.0,90.0,0.0,2064.0,0.0,2.0,0.0,1.0,-18.0,20.0,38.0,49.0,1.0,0.0,1.0
0.0,0.0,9.0,0.0,0.2,1.0,0.0,4.6,23.4,90.0,9.0,0.0,0.0,0.0,1092.0,0.0,91.0,0.0,2073.0,1.0,1.0,22.0,2.0,-17.0,16.0,33.0,49.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1092.0,0.0,92.0,0.0,2092.0,2.0,0.0,0.0,0.0,2.0,30.0,28.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1092.0,0.0,93.0,0.0,2125.0,0.0,1.0,0.0,0.0,-15.0,40.0,55.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1092.0,0.0,94.0,0.0,2133.0,1.0,0.0,0.0,0.0,-25.0,22.0,47.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1092.0,0.0,95.0,0.0,2121.0,1.0,2.0,0.0,0.0,-32.0,27.0,59.0,49.0,1.0,0.0,0.0
0.0,0.0,15.0,0.0,0.8,1.0,0.0,2.9,28.2,90.0,5.0,0.0,0.0,0.0,1092.0,0.0,96.0,0.0,2136.0,1.0,0.0,0.0,2.0,-14.0,40.0,54.0,49.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1092.0,0.0,97.0,0.0,2180.0,1.0,0.0,0.0,0.0,10.0,52.0,42.0,49.0,0.0,0.0,0.0
